label,address,name_tag
ICO Wallets,0x2323763d78bf7104b54a462a79c2ce858d118f2f,Civic: MultiSig
ICO Wallets,0x0bb9fc3ba7bcf6e5d6f6fc15123ff8d5f96cee00,Cobinhood: MultiSig
ICO Wallets,0x3013d62a7357021259c3ee463ec9fbc64de7ba76,Cofoundit: Wallet
ICO Wallets,0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale
ICO Wallets,0x983293eb01740d9788bbdcfe3a29d1bf2fdfc47d,coinEstate: Wallet
ICO Wallets,0x9df172fc167a8a567c208fc14e3435eb8043e2b7,Copytrack: Wallet
ICO Wallets,0x95b2eb812ce96cabc6dfd94bfcdae5192e027763,CPChain: Wallet
ICO Wallets,0x7c27f68b0d5afffb668da3e046adfba6ea1f6bc3,Credits: MultiSig
ICO Wallets,0xae18c66ac8e11f1218e5b5d25535b935644b8c42,CrowdCoinage: Wallet
ICO Wallets,0x26e75307fc0c021472feb8f727839531f112f317,Crypto20: C20 Token
ICO Wallets,0xc869af1617a9032a7c8ee60427027ba23cb9e4f8,Cryptosis: Wallet
ICO Wallets,0xf5c8b99c64a5584a911d3aae4873b3581d48586e,DATx: Wallet
ICO Wallets,0xc87b1bf162c1719e3ffdf34995d1853192d6633b,Decent.Bet: MultiSig
ICO Wallets,0x55ed2910cc807e4596024266ebdf7b1753405a11,Decentraland: MultiSig 1
ICO Wallets,0xe5d0c3fea1e5f01ca4098e9580b93b3b5d0ea768,Decentraland: MultiSig 2
ICO Wallets,0x5bd48309926121370da1cbbd5b958926e8bdb328,Decentraland: MultiSig 3
ICO Wallets,0xfe95e04a628087fcdd5f278e61f148b47471af4a,Decentraland: Wallet
ICO Wallets,0x23b61de5076526b3a1026491157c6df731ae8b61,Dether: Wallet
ICO Wallets,0x53f117ca3b93eda96d08c8496af103303c385059,Digitex: Wallet
ICO Wallets,0x75ba02c5baf9cc3e9fe01c51df3cb1437e8690d4,DigixDAO: MultiSig
ICO Wallets,0xd20e4d854c71de2428e1268167753e4c7070ae68,District0x: MultiSig
ICO Wallets,0x4b60b53a6edcd75f0730ecc22579df2079f210b0,DMarket: Wallet
ICO Wallets,0x2097175d0abb8258f2468e3487f8db776e29d076,Education Ecosystem: Token Sale
ICO Wallets,0x967cd47aa3195cff1248ac123e8a452d84daba1d,ElectrifyAsia: Wallet
ICO Wallets,0x660cdee72302d2941a43db1275eded7827023baa,EloPay: MultiSig
ICO Wallets,0xf67e754b5be1138882d203f46472c69b985108a7,EnterCoin: Wallet
ICO Wallets,0xd780ae2bf04cd96e577d3d014762f831d97129d0,Envion Token
ICO Wallets,0xb55d31e46428beb28234b62d5178dad5ec8ad8ca,ERC20Connect: Wallet
ICO Wallets,0x24c3235558572cff8054b5a419251d3b0d43e91b,Etheroll: MultiSig 1
ICO Wallets,0xa86a60d53e6f474e049be54824551bb99f05adee,Etheroll: MultiSig 2
ICO Wallets,0x9a60ad6de185c4ea95058601beaf16f63742782a,Ethos: MultiSig
ICO Wallets,0xdb8c6862ea4f5cc843c4b3ed75eb8951714b7635,Filecoin: MultiSig 1
ICO Wallets,0x3dbb3e8a5b1e9df522a441ffb8464f57798714b1,Filecoin: MultiSig 2
ICO Wallets,0xa5384627f6dcd3440298e2d8b0da9d5f0fcbcef7,FirstBlood: MultiSig
ICO Wallets,0x3061cfbae69bff0f933353cea20de6c89ab16acc,FOAM: MultiSig
ICO Wallets,0x72101d19ed90ad71ffaaf6c328930ab9646e751f,FundRequest: MultiSig
ICO Wallets,0xc98f8c6b319ecceccaa9361ed5372274674f96cf,Fusion: Wallet
ICO Wallets,0xa85b419eee304563d3587fe934e932f056ca3c14,Gatcoin: MultiSig
ICO Wallets,0xc79ab28c5c03f1e7fbef056167364e6782f9ff4f,Gimli: MultiSig
ICO Wallets,0x850468f69fa4fe32816cd7698fd5bd1ece3e1d5c,Gimmer: Wallet
ICO Wallets,0x6e95c8e8557abc08b46f3c347ba06f8dc012763f,Gnosis: MultiSig
ICO Wallets,0x851b7f3ab81bd8df354f0d7640efcd7288553419,Gnosis: MultiSig 2
ICO Wallets,0xce52a8dd7c8ad08e94b44620622e3630f7c1fc90,Gnosis: MultiSig 3
ICO Wallets,0x3257bde8cf067ae6f1ddc0e4b140fe02e3c5e44f,Gnosis: Vault
ICO Wallets,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,Golem: MultiSig
ICO Wallets,0x175af261088b31e58ba384b3758f14bcf6c1f4e1,GoNetwork: MultiSig
ICO Wallets,0x004e6f03648b0b0f529511697b0f36a463a24836,Gron Digital: Wallet
ICO Wallets,0x85992bb01c8c64a80656c1df988f313af6b661e9,HadePlatform: Wallet
ICO Wallets,0xc03281af336e2c25b41ff893a0e6ce1a932b23af,HelloGold: MultiSig
ICO Wallets,0x1706024467ef8c9c4648da6fc35f2c995ac79cf6,Hero: Wallet
ICO Wallets,0xe477292f1b3268687a29376116b0ed27a9c76170,Herocoin Token
ICO Wallets,0x8c097a9c954894c8779edef955398d6b8ea7226a,HOQU: Wallet
ICO Wallets,0xa2c9a7578e2172f32a36c5c0e49d64776f9e7883,Humaniq: Wallet
ICO Wallets,0x376c3e5547c68bc26240d8dcc6729fff665a4448,Iconomi: MultiSig 1
ICO Wallets,0x154af3e01ec56bc55fd585622e33e3dfb8a248d8,Iconomi: MultiSig 2
ICO Wallets,0x21346283a31a5ad10fa64377e77a8900ac12d469,iEXEC: MultiSig
ICO Wallets,0x03e4b00b607d0980668ca6e50201576b00000000,imbrex: Wallet
ICO Wallets,0xc4904676bfee9b5332033e6f7307433635346d21,INCX: Wallet
ICO Wallets,0x1c82ee5b828455f870eb2998f2c9b6cc2d52a5f6,Indorse: MultiSig 1
ICO Wallets,0x26967201d4d1e1aa97554838defa4fc4d010ff6f,Indorse: MultiSig 2
ICO Wallets,0x89add413f34c4858458d658a9f24456551762803,InvestDigital: Wallet
ICO Wallets,0xc640b901a529c58fb6f6c53665768e2d5c835421,Joyso: MultiSig
ICO Wallets,0x3eb01b3391ea15ce752d01cf3d3f09dec596f650,Kyber: MultiSig
ICO Wallets,0x562f587bff5a559e3fe671028b3096d8e3bb9107,Lendingblock: Wallet
ICO Wallets,0xf7d58e6720696b8f46dc9270443d8beaeb8d9775,LinkerCoin: Wallet
ICO Wallets,0x6a0afe6f45a878100480f312b585aa0d752d4d2d,Liquid: Gram Token Sale Proceeds
ICO Wallets,0xdf4d1b71aa4b8bb6814b2e5819844c3093a56349,LTO Network: Deployer
ICO Wallets,0x02dc3b8ab87c562cdce707647bd1ba21c390faf4,Maecenas: MultiSig
ICO Wallets,0x873767026deab58b3d14ceb60a0c9ba60773e3e7,Matryx: MultiSig
