address,label,name_tag
0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,exchange,Faa.st
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,exchange,FCoin
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,exchange,FixedFloat
0x14301566b9669b672878d86ff0b1d18dd58054e9,exchange,Flata.Exchange
0x91e18ee76483fa2ec5cfe2959df46673c2565be0,exchange,Flybit
0x0021845f4c2604c58f9ba5b7bff58d16a2ab372c,exchange,Folgory Exchange
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,exchange,FTX Exchange
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,exchange,FTX Exchange 2
0x0d0707963952f2fba59dd06f2b425ace40b492fe,exchange,Gate.io
0x7793cd85c11a924478d358d49b05b37e91b5810f,exchange,Gate.io 2
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,exchange,Gate.io 3
0xd793281182a0e3e023116004778f45c29fc14f19,exchange,Gate.io: Contract
0x9f5ca0012b9b72e8f3db57092a6f26bf4f13dc69,exchange,GBX
0xd24400ae8bfebb18ca49be86258a3c749cf46853,exchange,Gemini
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,exchange,Gemini 2
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,exchange,Gemini 3
0x5f65f7b609678448494de4c87521cdf6cef1e932,exchange,Gemini 4
0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,exchange,Gemini 5
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,exchange,Gemini 6
0xd69b0089d9ca950640f5dc9931a41a5965f00303,exchange,Gemini 7
0x07ee55aa48bb72dcc6e9d78256648910de513eca,exchange,Gemini: Contract 1
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,exchange,GGBTC.com
0x9c67e141c0472115aa1b98bd0088418be68fd249,exchange,HitBTC 1
0x59a5208b32e627891c389ebafc644145224006e8,exchange,HitBTC 2
0xa12431d0b9db640034b0cdfceef9cce161e62be4,exchange,HitBTC 3
0x980a4732c8855ffc8112e6746bd62095b4c2228f,exchange,Hoo.com
0xd0ec209ad2134899148bec8aef905a6e9997456a,exchange,Hoo.com 2
0x993b7fcba51d8f75c2dfaec0d17b6649ee0c9068,exchange,Hoo.com 3
0xec293b9c56f06c8f71392269313d7e2da681d9ac,exchange,Hoo.com 4
0x0093e5f2a850268c0ca3093c7ea53731296487eb,exchange,Hoo.com 5
0x008932be50098089c6a075d35f4b5182ee549f8a,exchange,Hoo.com 6
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,exchange,Hotbit
0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,exchange,Hotbit 2
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,exchange,Hotbit 3
0xab5c66752a9e8167967685f1450532fb96d5d24f,exchange,Huobi 1
0xe93381fb4c4f14bda253907b18fad305d799241a,exchange,Huobi 10
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,exchange,Huobi 11
0x46705dfff24256421a05d056c29e81bdc09723b8,exchange,Huobi 12
0x32598293906b5b17c27d657db3ad2c9b3f3e4265,exchange,Huobi 13
0x5861b8446a2f6e19a067874c133f04c578928727,exchange,Huobi 14
0x926fc576b7facf6ae2d08ee2d4734c134a743988,exchange,Huobi 15
0xeec606a66edb6f497662ea31b5eb1610da87ab5f,exchange,Huobi 16
0x7ef35bb398e0416b81b019fea395219b65c52164,exchange,Huobi 17
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,exchange,Huobi 18
0xd8a83b72377476d0a66683cde20a8aad0b628713,exchange,Huobi 19
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,exchange,Huobi 2
0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,exchange,Huobi 20
0x18916e1a2933cb349145a280473a5de8eb6630cb,exchange,Huobi 21
0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,exchange,Huobi 22
0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,exchange,Huobi 23
0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,exchange,Huobi 24
0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,exchange,Huobi 25
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,exchange,Huobi 26
0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,exchange,Huobi 27
0x0c6c34cdd915845376fb5407e0895196c9dd4eec,exchange,Huobi 28
0x794d28ac31bcb136294761a556b68d2634094153,exchange,Huobi 29
0xfdb16996831753d5331ff813c29a93c76834a0ad,exchange,Huobi 3
0xfd54078badd5653571726c3370afb127351a6f26,exchange,Huobi 30
0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,exchange,Huobi 31
0x4d77a1144dc74f26838b69391a6d3b1e403d0990,exchange,Huobi 32
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,exchange,Huobi 33
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,exchange,Huobi 34
0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,exchange,Huobi 35
0x0a98fb70939162725ae66e626fe4b52cff62c2e5,exchange,Huobi 36
0xf66852bc122fd40bfecc63cd48217e88bda12109,exchange,Huobi 37
0x49517ca7b7a50f592886d4c74175f4c07d460a70,exchange,Huobi 38
0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,exchange,Huobi 39
0xeee28d484628d41a82d01e21d12e2e78d69920da,exchange,Huobi 4
0x5c985e89dde482efe97ea9f1950ad149eb73829b,exchange,Huobi 5
0xdc76cd25977e0a5ae17155770273ad58648900d3,exchange,Huobi 6
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,exchange,Huobi 7
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,exchange,Huobi 8
0x1062a747393198f70f71ec65a582423dba7e5ab3,exchange,Huobi 9
0x3c11c3025ce387d76c2eddf1493ec55a8cc2a0f7,exchange,Idax.global
0x51836a753e344257b361519e948ffcaf5fb8d521,exchange,Indodax 1
0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,exchange,Indodax 2
0xb1a34309af7f29b4195a6b589737f86e14597ddc,exchange,IndoEx LTD
0x352bdabe484499e4c25c3536cc3eda1edbc5ad29,exchange,KickEX
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,exchange,Kraken
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,exchange,Kraken 10
0x43984d578803891dfa9706bdeee6078d80cfc79e,exchange,Kraken 11
0x66c57bf505a85a74609d2c83e94aabb26d691e1f,exchange,Kraken 12
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,exchange,Kraken 13
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,exchange,Kraken 2
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,exchange,Kraken 3
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,exchange,Kraken 4
0xfa52274dd61e1643d2205169732f29114bc240b3,exchange,Kraken 5
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,exchange,Kraken 7
0xc6bed363b30df7f35b601a5547fe56cd31ec63da,exchange,Kraken 8
0x29728d0efd284d85187362faa2d4d76c2cfc2612,exchange,Kraken 9
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,exchange,Kryptono 1
0x629a7144235259336ea2694167f3c8b856edd7dc,exchange,Kryptono 2
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,exchange,Kryptono 3
0x2b5634c42055806a59e9107ed44d43c426e58258,exchange,KuCoin
